"","Country.Name","Time","Region","Polity","Polity.Sim","Pub.Opinion","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"138","Spain",2009,3,10,17,40,0,1,1499074742984.16,-3.57381203047768,95.6950596835688,1079.589,5.1806028977,326283478541.678
"139","Spain",2010,3,10,17,47,0,1,1431672847682.12,0.013786543593227,81.8360830057553,1235.86488460144,5.6210553661,373171908212.539
"140","Spain",2011,3,10,17,55,0,1,1487924659438.42,-1.0000804875138,69.2903060286076,1313.29316795807,5.8,329158346580.84
"141","Spain",2012,3,10,17,49,0,1,1335945712662.3,-2.92981142936708,74.4856950823973,1131.85052008716,5.8,387195958003.655
"142","Spain",2013,3,10,17,48,0,1,1361775869855.87,-1.70589486797125,81.9930103562621,957.997754181,5.8,357908080330.103
"143","Spain",2014,3,10,17,39,0,1,1375856057716.82,1.37899828702557,72.1669686615111,962.636446,5.8,315301093667.118
"144","Spain",2015,3,10,17,41,1761.5,1,1192901186647.44,3.20468046422076,65.9897314891892,1040.913279272,5.65258103609085,300454633892.206
"145","United Kingdom",2008,3,10,17,47,0,1,2875463235294.12,-0.627205201223418,64.9687656259989,6283.831,5.12624977933884,560564736469.538
"146","United Kingdom",2009,3,10,17,52,0,1,2367127278392.27,-4.32773760856608,77.343244130239,6615.125,5.2223829081,465985963016.042
"147","United Kingdom",2010,3,10,17,46,0,1,2429602904820.77,1.9151618327202,87.9431516930024,6082.73941307418,5.4887079652,523244087084.042
"148","United Kingdom",2011,3,10,17,59,0,1,2608995353308.76,1.50906178236485,112.41533736043,6280.25098328964,5.6,426562966635.544
"149","United Kingdom",2012,3,10,17,49,0,1,2646002634059.62,1.31301859842485,117.458738083184,6243.54285285133,5.8,543463735052.483
"150","United Kingdom",2013,3,10,17,48,0,1,2719509472492.7,1.91107841065484,68.8735937682521,6031.574712,5.7,528309802345.693
"151","United Kingdom",2014,3,10,17,47,0,1,2998833559195.71,3.07048379406776,120.431328945146,5917.401138,5.6,518656202115.711
"152","United Kingdom",2015,3,10,17,45,3054.7,1,2861090726739.55,2.19422903476445,113.341521962202,5466.5046762,5.67227357004318,619832313580.571
"153","Vietnam",2008,1,-7,0,71.2105504200769,0,1,99130304099.1274,5.66177120802432,9.5639169940602,295.759,2.8256551670292,26435435000
"154","Vietnam",2009,1,-7,0,67.1000847345822,0,1,106014601171.036,5.39789754276676,25.0209779662381,311.502,3.2836947328,32702629000
"155","Vietnam",2010,1,-7,0,55.2186204350285,0,1,115931749697.241,6.42323821717494,25.976878705486,426.91573,3.6003325613,44901572000
"156","Vietnam",2011,1,-7,0,65.4021314120281,0,1,135539487317.008,6.24030274887527,15.9173908851674,475.385659574604,3.4,53886305000
"157","Vietnam",2012,1,-7,0,66.0162098019036,0,1,155820001920.492,5.2473671560487,74.0683508424443,503.550322720949,3.4,61576671000
"158","Vietnam",2013,1,-7,0,16,0,1,171222025117.381,5.42188299130713,23.3972644421978,497.179820293424,3.7,6.5452e+10
"159","Vietnam",2014,1,-7,0,19,0,1,186204652922.262,5.98365463697851,24.739994021112,450.220037899155,3.7,72423458000
"160","Vietnam",2015,1,-7,0,59.3761446247676,663.3,1,193599379094.859,6.67928878891431,26.7958762277753,384.47024,3.91381684403087,77798272000
