"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change"
"104",581,"Comoros",17.8,0,17.8,0.078,0,16,0.02221,565689764.6,3.93e-05,0
"105",590,"Mauritius",142.2,0,142.2,0.191,0,17,15.415827,11681761261,0.001319649,0
"106",600,"Morocco",894.4,0,894.4,0.005,0,3,528.702444,1.00593e+11,0.005255842,0
"107",615,"Algeria",1959.9,0,1959.9,0.39,0,9,780.766938,1.64779e+11,0.004738254,0
"108",616,"Tunisia",545.2,0,545.2,0.034,0,14,184.948952,43156606852,0.00428553,-0.24242822
"109",626,"South Sudan, Republic of",246,0,246,1.18,0,3,2321.915029,9015221096,0.257554973,0
"110",630,"Iran, Islamic Republic of",3567.1,1580.8,1986.3,1.179,1,0,16013.24541,3.93436e+11,0.040701011,0
"111",640,"Turkey",4658.6,2609.9,2048.7,1.202,1,10,2953.899282,8.59384e+11,0.00343723,-6
"112",645,"Iraq ",1663.8,0,1663.8,0.202,0,13,12656.33089,1.7964e+11,0.070453774,0
"113",651,"Egypt",2037.1,650.5,1386.6,0.737,1,3,910.42777,3.32698e+11,0.002736499,-4.429691335
"114",660,"Lebanon",633.5,0,633.5,0.344,0,13,17.376109,47084703151,0.000369039,2
"115",663,"Jordan",343.1,119.2,223.9,0.059,1,4,287.489731,37517410282,0.007662835,-11
"116",666,"Israel",1920.9,749.9,1171,3.147,1,13,2804.19645,2.99416e+11,0.009365562,3.541577165
"117",670,"Saudi Arabia",9992.6,2544.6,7448,0.526,1,-3,30155.46415,6.5427e+11,0.046090251,0
"118",679,"Yemen, Republic of",487,0,487,0.493,0,7,887.718394,37733919936,0.02352574,0
"119",690,"Kuwait",1933.5,536,1397.5,0.547,1,0,7478.746484,1.14041e+11,0.065579333,0
"120",692,"Bahrain",395,0,395,0.239,0,-3,111.593512,31125851064,0.003585236,0
"121",694,"Qatar",735.1,604.4,130.7,0.446,1,-3,4594.71268,1.64641e+11,0.027907381,0
"122",696,"United Arab Emirates",2311.2,1185.7,1125.5,0.245,0,-1,11280.42308,3.57949e+11,0.031514034,0
"123",698,"Oman",544.4,259.2,285.2,0.69,0,-1,15052.24528,69831770996,0.215550101,0
"124",700,"Afghanistan, Islamic Republic of",323.8,0,323.8,0.11,0,6,11.996206,19702986341,0.000608852,0
"125",701,"Turkmenistan",238.6,0,238.6,0.146,0,-1,7827.597828,35799628571,0.218650253,0
"126",702,"Tajikistan",174,30.9,143.1,0.047,1,4,50.200406,7853450374,0.006392147,0
"127",703,"Kyrgyz Republic",177.6,26.8,150.8,0.163,0,14,56.487448,6678178340,0.008458511,0
"128",704,"Uzbekistan",551.2,219.8,331.4,0.401,0,-2,1266.77917,66903804143,0.018934337,0
