"","Country.Name","Time","Pub.Opinion","Region","Polity","Polity.Sim","Share","Member","GDP","GDP.Growth","Capital","Air","Port","Debt"
"203","Pakistan",2010,85,1,6,13,0,1,177406854514.885,1.60669195949077,21.4237381661097,332.957297192,4.0473263722,64003277000
"204","Pakistan",2011,82,1,6,13,0,1,213587413183.996,2.74840254954,15.2480567625697,297.683519787229,4.1,65520311000
"205","Pakistan",2012,85,1,6,13,0,1,224383620829.57,3.50703342009689,NA,286.075685790508,4.4,62143611000
"206","Pakistan",2013,81,1,7,14,0,1,231218567178.979,4.39645663349772,NA,292.760800570437,4.5,60057298000
"207","Pakistan",2014,78,1,7,14,0,1,244360888750.807,4.67470798143725,NA,204.623134285262,4.4,62261536000
"208","Pakistan",2015,82,1,7,14,1034.1,1,271049886672.733,4.71245780369472,NA,183.17731267,4.07990342869478,65481878000
"209","Peru",2008,NA,5,9,16,0,0,120550599815.441,9.1265683014642,31.4198021892781,230.125,2.34221476771398,34719590000
"210","Peru",2009,NA,5,9,16,0,0,120822986521.479,1.0958236592427,59.3120084705572,256.939,2.6611611133,37389856000
"211","Peru",2010,NA,5,9,16,0,0,147492391535.14,8.33245910749577,70.0697025279281,83.5804026066418,3.3002916143,42153894000
"212","Peru",2011,NA,5,9,16,0,0,171724325697.898,6.32719240161117,47.6800183475708,107.179094,3.5,45012108000
"213","Peru",2012,NA,5,9,16,0,0,192605185353.65,6.13972470560435,53.2782644514899,122.151244,3.5,54149551000
"214","Peru",2013,56,5,9,16,0,0,201150658576.291,5.85251821084928,40.257148832196,334.880485681557,3.7,56802792000
"215","Peru",2014,60,5,9,16,0,0,201021342537.156,2.35433303756285,39.2196465335155,341.774864,3.7,61269605000
"216","Peru",2015,NA,5,9,16,0,0,189111139010.075,3.25120242475616,29.9060649182526,223.643433999,3.64610388441519,65938010000
"217","Philippines",2008,NA,1,8,15,0,1,174195135053.121,4.15275714549762,29.8691464512675,277.362,3.15812639960586,58204778000
"218","Philippines",2009,NA,1,8,15,0,1,168334599538.168,1.14833040819052,51.2963052378433,227.454,3.0038680449,55984122000
"219","Philippines",2010,NA,1,8,15,0,1,199590774784.581,7.63226391622599,78.8215287854846,460.194054824,2.7599268876,65302509000
"220","Philippines",2011,NA,1,8,15,0,1,224143083706.777,3.65975513887875,73.6433251788126,470.003413890059,3,66063285000
"221","Philippines",2012,NA,1,8,15,0,1,250092093547.532,6.68381023689122,91.6928787100648,533.283614656041,3.3,69371698000
"222","Philippines",2013,48,1,8,15,0,1,271836123723.678,7.06403293901505,79.9453203728384,325.682352,3.4,66202034000
"223","Philippines",2014,38,1,8,15,0,1,284834199296.32,6.21842575154629,91.9273986925989,457.157088,3.5,77103536000
"224","Philippines",2015,54,1,8,15,979.1,1,292451392606.609,5.9050145623096,81.66141315704,484.190968,3.22093564033508,77725096000
"225","Poland",2008,33,3,10,17,0,1,533815789473.684,4.24964529542027,17.0125147646044,78.921,2.62143595833333,NA
"226","Poland",2009,43,3,10,17,0,1,439796160379.475,2.8202219315681,34.3253406009147,55.475,2.8165188602,NA
"227","Poland",2010,46,3,10,17,0,1,479321128909.23,3.60696045902786,39.7866750489346,76.606040095,3.2586595758,NA
"228","Poland",2011,51,3,10,17,0,1,528828473066.019,5.01661596197876,26.1416011128322,39.4180038679561,3.4,NA
"229","Poland",2012,50,3,10,17,0,1,500344281382.345,1.60663717006567,35.4572614500276,91.8311627817047,3.5,NA
"230","Poland",2013,43,3,10,17,0,1,524214789307.993,1.39082553263614,39.0188438349885,97.64576278,3.7,NA
