"","code","Country.Name","IMF.Share","AIIB.Share","Subscription.Difference","absidealdiff","membership","polity.diff","Import.from.china","GDP","Import.Dependence","Opinion.Change","Relevant.Subscription","s2un","s3un"
"135",770,"Pakistan",2031,1034.1,996.9,0.039,1,14,2478683349,271050,0.00914474579966796,6,3815.16325401217,1,0.89333
"136",771,"Bangladesh",1066.6,660.5,406.1,0.292,0,8,803715525,195079,0.00411994896939189,0,3385.80780094218,1,0.89333
"137",780,"Sri Lanka",578.8,269,309.8,0.351,1,13,259218477,80611.989527,0.00321563180019491,0,3336.97259648829,1,0.89041
"138",790,"Nepal",156.9,80.9,76,0.045,1,13,21528237,21313.549579,0.00101007281401928,0,3795.70750053336,0.96774,0.82432
"139",800,"Thailand",3211.9,1427.5,1784.4,0.186,1,4,37212709030,399235,0.0932100367703232,0,3575.58831264794,0.9375,0.81333
"140",811,"Cambodia",175,62.3,112.7,0.002,1,9,666286816,18049.954289,0.0369134904904467,0,3451.53228659237,0.96875,0.86111
"141",812,"Lao People's Democratic Republic",105.8,43,62.8,0.375,1,0,1298095704,14390.323462,0.0902061518928212,0,2988.11907276084,1,0.875
"142",820,"Malaysia",3633.8,109.5,3524.3,0.173,1,12,53226898040,296283,0.179648842626813,0,369.579084861433,0.96923,0.86667
"143",830,"Singapore",3891.9,250,3641.9,0.168,1,5,26021686800,296841,0.0876620372522664,13.84140769,842.201717417742,1,0.85333
"144",840,"Philippines",2042.9,979.1,1063.8,0.171,1,15,19022141780,292774,0.0649721005963644,0,3344.21772425147,0.93548,0.80822
"145",850,"Indonesia",4648.4,3360.7,1287.7,0.368,1,16,19815493450,861256,0.0230076695546969,-12.28506936,3902.09182867812,0.96875,0.86667
"146",900,"Australia",6572.4,3691.2,2881.2,2.058,1,17,65141381900,1345380,0.0484185746034578,5,2743.61147036525,0.14815,0.10667
"147",920,"New Zealand",1252.1,461.5,790.6,1.431,1,17,6583320833,175564,0.0374981250882869,5,2628.67102595065,0.52,0.35616
"148",940,"Solomon Islands",20.8,0,20.8,0.069,0,15,461878827,1129.164719,0.40904468518025,0,0,0.9375,0.81081
"149",950,"Fiji, Republic of",98.4,0,98.4,0.273,0,9,21431199,4391.064781,0.00488063831185824,0,0,0.96296,0.76812
